# Grafik 1
1       125     125
2       125     126
3       125     125
4       125     125
5       125     125
6       125     125
7       125     125
8       125     125
9       125     125
10      125     125
11      125     125
12      125     124


# Grafik 2
1       125     125
2       125     127
3       125     126
4       125     126
5       125     126
6       125     126
7       125     126
8       125     126
9       125     126
10      125     126
11      125     126
12      125     126


# Grafik 3
1       125     125
2       125     128
3       125     127
4       125     126
5       125     126
6       125     126
7       125     126
8       125     126
9       125     126
10      125     126
11      125     126
12      125     126


# Grafik 4
1	9.66	10.25	10.13
2	10.06	12.88	10.76
3	10.06	13.56	11.36
4	10.3	12.12	10.5
5	12.17	12.1	10.12
6	11.37	14.9	10.25
7	11.05	11.82	10.18
8	10.25	12.22	9.74
9	10.26	13.64	10.14
10	10.23	21.82	9.55
11	10.15	23.33	10.33
12	9.88	24.07	10.07


# Grafik 5
1	53.54	59.73	58.96
2	200.25	214.47	178.43
3	171.08	215.39	186.64
4	172.82	211.78	193.55
5	167.04	216.77	191.13
6	183.98	210.94	184
7	193.51	238.46	199.32
8	169.82	242.53	199.55
9	170.91	211.28	207.74
10	167.73	415	173.41
11	166.52	412.71	171.86
12	53.34	154.33	53.81


# Grafik 6
1	274.49	314.6	267.26
2	1163.68	1470.7	1153.74
3	1163.09	1419.37	1195.61
4	1167.66	1498.65	1175.32
5	1174.48	1408.45	1218.07
6	1158.58	1399.83	1175.82
7	1168.54	1404.83	1192.28
8	1181.68	1402.22	1175.88
9	1151.92	1429.42	1190.28
10	1147.13	2596.03	1187.8
11	1139.85	2537.95	1163.67
12	267.32	981.06	272.13


# Grafik 7
1	20.14	20.07	20.16
2	20.04	20.03	20.05
3	20.28	20.03	20.07
4	20.27	20.04	20.05
5	20.29	20.05	20.06
6	20.27	20.05	20.07
7	20.27	20.05	20.06
8	20.29	20.05	20.07
9	20.27	20.04	20.07
10	20.27	20.04	20.05
11	20.34	20.05	20.05
12	20.05	20.06	20.05


# Grafik 8
"A (2)"     125     124
"B (12)"    125     123
"C (22)"    125     122
"D (37)"    125     121
"E (52)"    125     120
